name,color,url
Latvia,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/pettravel-latvia
Liberia,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-green-banner-and-text
Lithuania,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/pettravel-lithuania
Lebanon,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-lebanon
Luxembourg,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/pettravel-luxembourg
North Macedonia,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-green-banner-and-text
Malaysia,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-malaysia
Mali,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-mali
Malta,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/eu-echinococcus/pet-travel-echinococcus-treatments
Marshall Islands,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-marshall-islands
Martinique,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-martinique
Mexico,unknown,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-mexico
Moldova,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-orange-banner-and-text
Mongolia,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-orange-banner-and-text
Montenegro,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-green-banner-and-text
Morocco,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-morocco
Namibia,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-namibia
Netherlands,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/pettravel-netherlands
New Caledonia,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-orange-banner-and-text
New Zealand,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-new-zealand
Nicaragua,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-nicaragua
Nigeria,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-nigeria
Northern Ireland,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/eu-echinococcus/pet-travel-echinococcus-treatments
Norway,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/eu-echinococcus/pet-travel-echinococcus-treatments
Oman,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-orange-banner-and-text
Pakistan,unknown,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-pakistan
Panama,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-panama
Paraguay,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-paraguay
Peru,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-peru
Philippines,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-philippines
Poland,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/pettravel-poland
Portugal,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/pettravel-portugal
Romania,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/pettravel-romania
Russian Federation,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-russian-federation
Saudi Arabia,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-saudi-arabia
Scotland (Great Britain),orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/eu-echinococcus/pet-travel-echinococcus-treatments-uk
Senegal,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-senegal
Serbia,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-serbia
Singapore,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-singapore
Slovakia,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/pettravel-slovakia
Slovenia,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/pettravel-slovenia
South Africa,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-south-africa
Spain,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/pettravel-spain
Sri Lanka,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-sri-lanka
St. Kitts and Nevis,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-st-kitts-and-nevis
St. Lucia,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-st-lucia
St. Maarten,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-st-maarten
St. Vincent,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-st-vincent
Suriname,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-orange-banner-and-text
Sweden,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/pettravel-sweden
Switzerland,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/pettravel-switzerland
Taiwan,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-taiwan
Tajikistan,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-green-banner-and-text
Tanzania,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-tanzania
Thailand,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-thailand
Trinidad and Tobago,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-trinidad-tobago
Turkey,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-turkey
Turkmenistan,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-orange-banner-and-text
Turks and Caicos Islands,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-turks-caico
Ukraine,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-ukraine
United Arab Emirates,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-united-arab-emirates
United Kingdom (Great Britain),orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/eu-echinococcus/pet-travel-echinococcus-treatments-uk
Uruguay,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-uruguay
Uzbekistan,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-orange-banner-and-text
Venezuela,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-venezuela
Vietnam,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-orange-banner-and-text
Wales (Great Britain),orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/eu-echinococcus/pet-travel-echinococcus-treatments-uk
